route_long_name,route_short_name,agency_id,route_type,route_id
Banashankari Bus Station ⇔ Jeevanbheema Nagara,201-G,1,3,2i2
Banashankari Bus Station ⇔ Jigani APC Circle,600-FC,1,3,14x
Banashankari Bus Station ⇔ Judicial Layout,MF-211UB,1,3,1tc
Banashankari Bus Station ⇔ KR Pura Metro Station,V-MF1C BSK-KRPMS,1,3,20g
Banashankari Bus Station ⇔ Kadugodi Bus Station,500-CK,1,3,1g0
Banashankari Bus Station ⇔ Kadugodi Bus Station,V-500CK,1,3,1sw
Banashankari Bus Station ⇔ Kaggalipura,MF-211AC,1,3,1qa
Banashankari Bus Station ⇔ Kempegowda International Airport,KIA-5,1,3,2g6
Banashankari Bus Station ⇔ Kempegowda Swimming Pool,201 BSK-KSP,1,3,2yf
Banashankari Bus Station ⇔ Kendriya Vidyalaya ASC Center,201 BSK-KVASC,1,3,1f3
Banashankari Bus Station ⇔ Kengeri Bus Station,212-M,1,3,2sd
Banashankari Bus Station ⇔ Koli Farm Gate,MF-18,1,3,vw
Banashankari Bus Station ⇔ Krishnaraja Pura Govt Hospital,500-L BSK-TNF-KRPGH,1,3,b1
Banashankari Bus Station ⇔ Krishnaraja Pura Govt Hospital,MF-500L BSK-KRPGH,1,3,24w
Banashankari Bus Station ⇔ Kuvempunagara ( BTM Layout),MF-21,1,3,uu
Banashankari Bus Station ⇔ Mahadeshwara Nagara,25B-BSK-BTMS,1,3,158
Banashankari Bus Station ⇔ Mallasandra Poorvankara Apartment,MF-211AA,1,3,db
Banashankari Bus Station ⇔ NR Colony,BSK-NRC,1,3,1j0
Banashankari Bus Station ⇔ Oxford Medical College Yadavanahalli,600-F BSK-OMC,1,3,8q
Banashankari Bus Station ⇔ Ramasandra,367 BSK-RSD,1,3,p4
Banashankari Bus Station ⇔ Somanahalli,211-BA,1,3,1nv
Banashankari Bus Station ⇔ Sri Sai Packaging Company,410-F BSK-SSPC,1,3,47
Banashankari Bus Station ⇔ Thalagattapura,MF-211AD,1,3,21v
Banashankari Bus Station ⇔ Tin Factory,MF-500L,1,3,1b6
Banashankari Bus Station ⇔ Valley School Kanakapura Road,211 BSK-VLS,1,3,264
Banashankari Bus Station ⇔ Vidyamanyanagara,410K BSK-VDN,1,3,1f5
Banashankari Bus Station ⇔ Vinayakanagara Indira Canteen Gubbala  Road,BSK-VNICGM,1,3,2hl
Bande Maramma Bus Station ⇔ Central Silk Board,410-FA BMBS-CSB,1,3,v5
Bande Maramma Bus Station ⇔ Jalahalli Cross,BMBS-JHC,1,3,11
Bandi Reddy Circle ⇔ Peenya 2nd Stage,252-L,1,3,h3
Bangarappa Nagara ⇔ BEML Layout 5th stage,225-G BGPN-BEML5,1,3,2iv
Bangarappa Nagara ⇔ KR Market (Kalasipalya),225-P BRN-JNK-KMT,1,3,156
Bangarappa Nagara ⇔ Kempegowda Bus Station,225-G KMT FLY,1,3,2qa
Bannerughatta Circle ⇔ M Medahalli,365-Z BGT-MMDH,1,3,2qk
Bannerughatta Circle ⇔ UjinappanaDoddy,370-A BGT-UJPD,1,3,1wo
Bannerughatta Circle ⇔ UjinappanaDoddy,BGT-UJPD,1,3,319
Bannerughatta National Park ⇔ 9th Block Jayanagara (40th Cross),365J-BNZ-JNN,1,3,2hc
Bannikuppe ⇔ KR Market (Kalasipalya),226-C BNKP-KMT,1,3,1vu
Bannikuppe ⇔ Kempegowda Bus Station,231-B BNKP-KBS,1,3,1tz
Bannimangala ⇔ Kempegowda Bus Station,285-MG KBS-BMG,1,3,2wa
Basapura Electronic City ⇔ Kempegowda Bus Station,347-H,1,3,ms
Basava Gangotri Samsthe ⇔ RWB Gate Kengeri (Kengeri Work shop),BSGK-KWS,1,3,1tf
Basavanagara Kengeri ⇔ Dodda Basti,235-K BSN-DBT,1,3,m9
Basaveshwaranagara New Bus Stand ⇔ Cauvery Nagara,88-A BSN-CVN,1,3,2gr
Basaveshwaranagara New Bus Stand ⇔ Electronic City Wipro Main Gate,NICE-6,1,3,27l
Basaveshwaranagara New Bus Stand ⇔ GPO,88-A BSN-GPO,1,3,2ev
Basaveshwaranagara New Bus Stand ⇔ Kempegowda Bus Station,88-B BSN-VSD-KBS,1,3,1lo
Basaveshwaranagara New Bus Stand ⇔ Mysore Road Bus Station,K-3 BSN-MRBS,1,3,137
Bashyam Circle Sadashivanagara ⇔ Hebbala,IIHS-HBL,1,3,1i4
Bayyappanahalli Metro Station  Back Gate ⇔ B Channasandra Bridge(Ramamurthy Nagara Ring Road),MF-2,1,3,2hw
Bayyappanahalli Metro Station  Back Gate ⇔ Hoysala Nagara,MF-7 HYN-BMS,1,3,1m2
Bayyappanahalli Metro Station  Back Gate ⇔ Krishnaraja Pura Govt Hospital,301-T BBGM-KRP,1,3,1e7
Bayyappanahalli Metro Station ⇔ Electronic City,MF-500EB BYPMS-ELC,1,3,1ag
Bayyappanahalli Metro Station ⇔ Electronic City Wipro Main Gate,MF-500EB,1,3,1t1
Beerasandra Chapradakallu ⇔ Kempegowda Bus Station,298-M KBS-EHSR-BRS,1,3,13c
Beereshwara Nagara ⇔ Banashankari Bus Station,215-K BWSR-BSK,1,3,1k9
Beguru ⇔ Electronic City,362-C BGR-ELC,1,3,2y0
Beguru ⇔ Electronic City,BGR-BMH-ELC,1,3,2cj
Bengaluru Central Jail ⇔ Shivajinagara Bus Station,347-G,1,3,26l
Bengaluru University Gate ⇔ Ramasandra,MF-39,1,3,2di
Bengaluru University Gate ⇔ Ullala Satelite Town,MF-40,1,3,10d
Bettahalli ⇔ Depot-43 Gate,D43G-BTH,1,3,1ik
Bettenahalli ⇔ Kempegowda Bus Station,285 BTH-THS-KBS,1,3,2ds
Bharath Nagara 2nd Stage ⇔ Cauvery Bhavana,241-D BRTN2-MRTG-CVB,1,3,224
Bharath Nagara 2nd Stage ⇔ Vidhana Soudha Karnataka High Court,241-D BRTN-VSD,1,3,1p7
Bhartiya City Chokkanahalli ⇔ Yelahanka Old Town,BCC-YHKOT,1,3,2zm
Bhattarahalli Bank Of India ⇔ Central Silk Board,500-D BSBI-CSB,1,3,23n
Bhoopasandra ⇔ Yelahanka Old Town,278-A,1,3,2b6
Bhuvaneshwari Nagara ⇔ Shivajinagara Bus Station,415 BVSN-SBS,1,3,1pd
Bidadi ⇔ Anchipura Colony,226-S BDD-ANCP,1,3,11r
Bidadi ⇔ Bannerughatta Circle,211-NB,1,3,bd
Bidadi ⇔ Guddadahalli Dinne,BDD-GDHD,1,3,v0
