stop_name,stop_id,stop_lat,stop_lon
SLV Petrol Bunk,4q0,13.16059,77.5955
SMVIT College,1hg,13.15169,77.61168
SMVIT College,4m1,13.15178,77.61167
SMVIT Cross,1gr,13.15197,77.62063
SMVIT Cross,el,13.15197,77.61977
SMVIT Cross,gc,13.15209,77.62015
SNN Raj Serenity Apartment Yelenahalli,j3,12.85977,77.6125
SRR Kalyana Mantapa,5br,13.00744,77.65464
SRR Kalyana Mantapa,67p,13.00902,77.65617
SRS Peenya,3mj,13.03428,77.53032
SRS Peenya,433,13.03471,77.52987
SSVB Bakery Kanteerava Studio,1xj,13.01365,77.53397
SSVB Bakery Kanteerava Studio,5jl,13.01371,77.53391
STRR Devanahalli Toll,4kk,13.20732,77.76248
STRR Devanahalli Toll,iq,13.20764,77.76237
SVR College,1mo,12.90225,77.65058
Saalu Doddy,685,12.8306,77.513
Saalu Doddy,b0,12.83077,77.51308
Sacred Heart Girls' High School,2b5,12.97048,77.60416
Sadahalli,3ib,13.21199,77.64726
Sadahalli,5d,13.21208,77.64734
Sadahalli Gate,1wj,13.19072,77.64583
Sadahalli Gate,65x,13.19051,77.64626
Sadananda Nagara,5sl,12.99446,77.65825
Sadananda Nagara,aq,12.99442,77.65799
Sadaramangala,3bg,12.99921,77.73677
Sadaramangala,pr,12.99927,77.73675
Sadaramangala Gate,1yk,12.99782,77.73669
Sadaramangala Gate,5e2,12.99778,77.73666
Sadashivanagara,1hc,13.00864,77.58029
Sadashivanagara ING Vysya  Bank,4yo,13.00549,77.58063
Sadashivanagara Police Station,4aq,13.01553,77.57269
Sadashivanagara Police Station,yz,13.01587,77.57277
Sadenahalli,5tp,13.19463,77.57269
Sadenahalli,6c1,13.19467,77.57277
Sadhanapalya,ol,12.76858,77.48288
Sadhanapalya Gate,52t,12.76801,77.48864
Sadhanapalya Gate,5kk,12.76807,77.48881
Sadhapanalli Gate,2pm,13.16299,77.79286
Sadhapanalli Gate,c7,13.16294,77.7928
Safal Market,45v,13.03799,77.75986
Safal Market,4bm,13.03799,77.75976
Sagar Hospital,28b,12.92848,77.59962
Sahakara Nagara,2xt,13.06473,77.58385
Sahakara Nagara Police Station,1q4,13.06414,77.58336
Sahakara Nagara Police Station,6cp,13.06409,77.58348
Sahakara Nagara Post Office,2h5,13.06133,77.58736
Sahakara Nagara Post Office,4en,13.06142,77.58731
Sahukarapalya,1i4,13.06533,77.28899
Sahyadribalaga Layout,30n,13.06592,77.49912
Sai Baba General Hospital,2e6,12.97383,77.75042
Sai Baba General Hospital,3so,12.97454,77.75065
Sai Baba Temple (Avathi),1dc,13.2829,77.72277
Sai Lakshmi Industries,10i,13.02458,77.76173
Sai Lakshmi Industries,57v,13.02454,77.76162
Sajjan Rao Circle,10d,12.95262,77.57653
Sajjan Rao Circle,42v,12.95233,77.57713
Sajjan Rao Circle,ax,12.95301,77.57738
Sakalavara,2tn,12.8207,77.60905
Sakalavara,3gq,12.82073,77.60909
Sakamma Layout,3dv,13.00723,77.52867
Salarpuria Apartment,2k5,12.90696,77.63256
Salarpuria Apartment,59x,12.90692,77.63254
Saluhunase,55t,12.81079,77.51148
Saluhunase,cr,12.81095,77.51157
Samanahalli,3cr,12.83268,77.74766
Samanahalli 1,2nf,12.8327,77.74768
Samanduru,1rh,12.71526,77.75291
Samanduru,4m9,12.71526,77.753
Sambhram College,1sp,13.0883,77.54669
Sambhram College,2k4,13.08827,77.54666
Samethanahalli,2tq,12.98027,77.78981
Samethanahalli,499,12.98027,77.78987
Sampangere,4t7,12.87444,77.88294
Sampangiram Nagara,2yy,12.82495,77.58593
Sampangiram Nagara,3dy,12.8254,77.58623
Sampige Nagara,41o,12.83451,77.69736
Sampige Nagara 1,10p,12.83929,77.69798
Sampige Nagara Gate,3v,12.83936,77.69793
Sampigehalli,29t,13.08187,77.61784
